CustomerID,Generated_Review,Review_Category,Original_Churn_Reason
3078-ZKNTS,I had to call support once and they were fantastic. The representative was knowledgeable and solved my issue quickly.,Customer Support,N/A (Not Churned)
6614-YWYSC,I had to call support once and they were fantastic. The representative was knowledgeable and solved my issue quickly.,Customer Support,N/A (Not Churned)
7426-GSWPO,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
3082-WQRVY,I had to call support once and they were fantastic. The representative was knowledgeable and solved my issue quickly.,Customer Support,N/A (Not Churned)
4573-JKNAE,The service is incredibly reliable. I never have issues with downtime or slow speeds.,Service/Product,N/A (Not Churned)
4079-WWQQQ,I'm very satisfied with the product. It works perfectly and does exactly what I need it to do.,Service/Product,N/A (Not Churned)
4369-NYSCF,I get great speeds for what I pay. Definitely feel like I'm getting a good deal.,Price,N/A (Not Churned)
2274-XUATA,I get great speeds for what I pay. Definitely feel like I'm getting a good deal.,Price,N/A (Not Churned)
5016-LIPDW,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
2990-OGYTD,I had to call support once and they were fantastic. The representative was knowledgeable and solved my issue quickly.,Customer Support,N/A (Not Churned)
1488-PBLJN,I get great speeds for what I pay. Definitely feel like I'm getting a good deal.,Price,N/A (Not Churned)
5197-PYEPU,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
6103-LIANB,I'm very satisfied with the product. It works perfectly and does exactly what I need it to do.,Service/Product,N/A (Not Churned)
0310-SUCIN,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
6131-FOYAS,The service is incredibly reliable. I never have issues with downtime or slow speeds.,Service/Product,N/A (Not Churned)
1162-ECVII,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
0447-RXSGD,The website is so easy to use. I can manage my account and find information without any hassle.,Customer Support,N/A (Not Churned)
2688-BHGOG,The service is incredibly reliable. I never have issues with downtime or slow speeds.,Service/Product,N/A (Not Churned)
0014-BMAQU,The website is so easy to use. I can manage my account and find information without any hassle.,Customer Support,N/A (Not Churned)
8049-WJCLQ,The service is incredibly reliable. I never have issues with downtime or slow speeds.,Service/Product,N/A (Not Churned)
7242-EDTYC,I get great speeds for what I pay. Definitely feel like I'm getting a good deal.,Price,N/A (Not Churned)
3580-HYCSP,I'm very satisfied with the product. It works perfectly and does exactly what I need it to do.,Service/Product,N/A (Not Churned)
8958-JPTRR,Your devices and equipment are top-notch. Way better than what the competition is offering.,Competitor,N/A (Not Churned)
1304-SEGFY,I get great speeds for what I pay. Definitely feel like I'm getting a good deal.,Price,N/A (Not Churned)
4712-UYOOI,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
4312-GVYNH,Your devices and equipment are top-notch. Way better than what the competition is offering.,Competitor,N/A (Not Churned)
1245-HARPS,I had to call support once and they were fantastic. The representative was knowledgeable and solved my issue quickly.,Customer Support,N/A (Not Churned)
9251-AWQGT,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
0098-BOWSO,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
7801-CEDNV,The service is incredibly reliable. I never have issues with downtime or slow speeds.,Service/Product,N/A (Not Churned)
1548-ARAGG,The website is so easy to use. I can manage my account and find information without any hassle.,Customer Support,N/A (Not Churned)
7524-VRLPL,I get great speeds for what I pay. Definitely feel like I'm getting a good deal.,Price,N/A (Not Churned)
7601-WFVZV,I had to call support once and they were fantastic. The representative was knowledgeable and solved my issue quickly.,Customer Support,N/A (Not Churned)
0953-LGOVU,I'm very satisfied with the product. It works perfectly and does exactly what I need it to do.,Service/Product,N/A (Not Churned)
1208-NBVFH,Your devices and equipment are top-notch. Way better than what the competition is offering.,Competitor,N/A (Not Churned)
4439-YRNVD,The price is very fair for the service I receive. My monthly bill is predictable and affordable.,Price,N/A (Not Churned)
6339-RZCBJ,The service is incredibly reliable. I never have issues with downtime or slow speeds.,Service/Product,N/A (Not Churned)
2519-ERQOJ,I get great speeds for what I pay. Definitely feel like I'm getting a good deal.,Price,N/A (Not Churned)
5151-HQRDG,I had to call support once and they were fantastic. The representative was knowledgeable and solved my issue quickly.,Customer Support,N/A (Not Churned)
4304-XUMGI,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
8332-OSJDW,The website is so easy to use. I can manage my account and find information without any hassle.,Customer Support,N/A (Not Churned)
2267-FPIMA,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
9552-TGUZV,Your devices and equipment are top-notch. Way better than what the competition is offering.,Competitor,N/A (Not Churned)
9578-FOMUK,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
8184-WMOFI,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
7110-BDTWG,The price is very fair for the service I receive. My monthly bill is predictable and affordable.,Price,N/A (Not Churned)
6439-LAJXL,I get great speeds for what I pay. Definitely feel like I'm getting a good deal.,Price,N/A (Not Churned)
2284-VFLKH,I had to call support once and they were fantastic. The representative was knowledgeable and solved my issue quickly.,Customer Support,N/A (Not Churned)
5451-YHYPW,I had to call support once and they were fantastic. The representative was knowledgeable and solved my issue quickly.,Customer Support,N/A (Not Churned)
3279-DYZQM,I had to call support once and they were fantastic. The representative was knowledgeable and solved my issue quickly.,Customer Support,N/A (Not Churned)
8486-AYEQH,Your devices and equipment are top-notch. Way better than what the competition is offering.,Competitor,N/A (Not Churned)
4872-VXRIL,Your devices and equipment are top-notch. Way better than what the competition is offering.,Competitor,N/A (Not Churned)
0292-WEGCH,Your devices and equipment are top-notch. Way better than what the competition is offering.,Competitor,N/A (Not Churned)
7349-ALMUX,I've shopped around and you still have the best offers. Really happy with the value I'm getting.,Competitor,N/A (Not Churned)
3688-FTHLT,Your devices and equipment are top-notch. Way better than what the competition is offering.,Competitor,N/A (Not Churned)
6176-YJWAS,I'm very satisfied with the product. It works perfectly and does exactly what I need it to do.,Service/Product,N/A (Not Churned)
3352-RICWQ,I get great speeds for what I pay. Definitely feel like I'm getting a good deal.,Price,N/A (Not Churned)
